Nº REG;NOMBRE;DOMICILIO;nº;Nº Expte;Capacidad;Clase;Estado;Disp nº;Fecha Disp. Inscripción;Disp nº;Fecha Disp. Re-Inscripción;Disp. de rechazo nº ;fecha disposición de rechazo;Disposición de recalculo capacidad nº;Fecha disposición de  capacidad
103;LIQUID;AV. SANTA FÉ;3651;72590/08;576 personas;C;RENOVADO 2012;3;39855;5;40949;;;71;41047
104;MUSIK- CLUB M;NICETO VEGA;5681/99;1965/09;333 personas;"""C.C""";RENOVADO 2012;47;39904;58;41003;;;47;39904
105;LIV (ex-HUMMER);AV. JUAN B. JUSTO ;1658;23794/09;742 personas;C;RENOVADO 2012;53;39927;78;41067;;;103;40410
106;JANNOY;AV. CORDOBA;2988;23791/09;448 personas;C;RENOVADO 2012;54;39933;65;41025;;;54;39933
107;CLUB DORADO;"AV. HIPÓLITO YRIGOYEN";947;32798/09;400 poersonas;"""C""";RENOVADO 2012;70;39983;86;41079;;;70;39983
108;"HONDURAS HOLLYWOOD";HONDURAS;5535;48909/09;356 personas;C.C;SUSPENDIDO;83;40039;133;41200;;;83;40039
109;WET CLUB;AV. NICETO VEGA;5534/36;48222/09;272 personas;C.C;INSCRIPCIÓN VENCIDA;87;40053;116;40836;;;87;40053
110;TEQUILA;"AV. RAFAEL OBLIGADO";6211;49401/09;335 personas;"""C""";RENOVADO 2012;94;40102;124;41173;;;118;40466
111;MAGNOLIA;"A.  MOREAU DE JUSTO";1007;1082617/09;100 personas;"""C.C""";SUSPENDIDO;95;40109;108;40816;;;95;40109
112;NON SERVIAM;SARMIENTO ;667;1927/09;1100 personas;"""C""";RENOVADO 2011;104;12/112009;129;40858;;;104;40129
113;THE CHURCH;SUIPACHA ;842;1445687;220 personas;"""C.C""";RENOVADO 2011;113;40165;144;40896;;;113;40165
114;MÓDENA DESIGN;"FIGUEROA ALCORTA ";2270; 48.226/09.;581 personas;"""C""";SUSPENDIDO;116;40177;148;40905;;;116;40177
115;NIX/PREVIOUS;"HIPOLITO YRIGOYEN ";847/49/851;18225/10;958 personas;"""C""";RENOVADO 2012;4;40193;36;40977;;;4;40193
116;NEO CLUB;SANTOS DUMONT;4056/60;1544367/09;500 personas;"""C""";RENOVADO 2012;10;40207;11;40963;;;10;40207
117;GROOVE;AV. SANTA FE ;4389/99;147846/10;1685 personas;"""C""";RENOVADO 2012;51;40268;55;40998;;;51;40268
118;MOD;BALCARCE ;563;1130684/10;586 personas;"""C""";RENOVADO 2012;123;40473;135;41205;;;123;40473
